Sample ID,Duplicated,Duplicate_ID,Box_Location,Sample_Site,Sample_Location,Type,Depth,Sample_Date,DNA_Extraction,Extraction_Weight (g),DNA_conc_ng_uL,Total_DNA,Redo,K-State_ID,pH,Buffer_pH,TN_perc,TC_perc,OM_perc,K_mg_kg,S_mg_kg,P_mg_kg,Sand_perc,Silt_perc,Clay_perc,NO3_mg_kg,NH4_mg_kg
DS3 A7 T,Yes,A,1,DS3,A7,Soil,0-5 cm,17-Aug-22,18-Apr-23,0.249,29.2,2861.6,No,304193,6.5,6.6,1.5,24.5,39.2,26.3,154.2,28.1,,,,24.5,7.2
DS3 A7 B,Yes,A,2,DS3,A7,Soil,10-15 cm,17-Aug-22,18-Apr-23,0.246,2.07,202.86,Yes,304193,6.5,6.6,1.5,24.5,39.2,26.3,154.2,28.1,,,,24.5,7.2
DS3 A7 W,Yes,A,3,DS3,A7,Water,Water,17-Aug-22,18-Apr-23,0.34,1.96,192.08,Yes,,,,,,,,,,,,,,
DS3 A9 T,Yes,A,4,DS3,A9,Soil,0-5 cm,17-Aug-22,18-Apr-23,0.246,43.5,4263,No,304194,5.8,6.1,1.02,16.1,26.5,37.3,357.3,46,,,,14.8,23.2
DS3 A9 B,Yes,A,5,DS3,A9,Soil,10-15 cm,17-Aug-22,18-Apr-23,0.245,14.6,1430.8,No,304194,5.8,6.1,1.02,16.1,26.5,37.3,357.3,46,,,,14.8,23.2
DS3 D5 T,Yes,A,6,DS3,D5,Soil,0-5 cm,17-Aug-22,18-Apr-23,0.245,37.2,3645.6,No,304195,5.5,6.1,0.89,13.7,24.2,60.5,281.8,36.6,,,,1.7,50.1
DS3 D5 B,Yes,A,7,DS3,D5,Soil,10-15 cm,17-Aug-22,18-Apr-23,0.245,34.1,3341.8,No,304195,5.5,6.1,0.89,13.7,24.2,60.5,281.8,36.6,,,,1.7,50.1
DS3 D5 W,Yes,A,8,DS3,D5,Water,Water,17-Aug-22,18-Apr-23,0.355,1.91,187.18,Yes,,,,,,,,,,,,,,
DS3 A7 T,Yes,B,10,DS3,A7,,,17-Aug-22,No,,,,,304193,6.5,6.6,1.5,24.5,39.2,26.3,154.2,28.1,,,,24.5,7.2
DS3 A7 B,Yes,B,11,DS3,A7,,,17-Aug-22,No,,,,,304193,6.5,6.6,1.5,24.5,39.2,26.3,154.2,28.1,,,,24.5,7.2
DS3 A7 W,Yes,B,12,DS3,A7,,,17-Aug-22,No,,,,,,,,,,,,,,,,,,
DS3 A9 T,Yes,B,13,DS3,A9,,,17-Aug-22,No,,,,,304194,5.8,6.1,1.02,16.1,26.5,37.3,357.3,46,,,,14.8,23.2
DS3 A9 B,Yes,B,14,DS3,A9,,,17-Aug-22,No,,,,,304194,5.8,6.1,1.02,16.1,26.5,37.3,357.3,46,,,,14.8,23.2
DS3 D5 T,Yes,B,15,DS3,D5,,,17-Aug-22,No,,,,,304195,5.5,6.1,0.89,13.7,24.2,60.5,281.8,36.6,,,,1.7,50.1
DS3 D5 B,Yes,B,16,DS3,D5,,,17-Aug-22,No,,,,,304195,5.5,6.1,0.89,13.7,24.2,60.5,281.8,36.6,,,,1.7,50.1
DS3 D5 W,Yes,B,17,DS3,D5,,,17-Aug-22,No,,,,,,,,,,,,,,,,,,
RGo B6 T,Yes,A,19,RGO,B6,Soil,0-5 cm,2-Sep-22,18-Apr-23,0.251,23.2,2273.6,No,308452,6.5,6.8,0.14,1.2,2.74,78.2,20.6,4.1,34,45,21,6.52,1.25
RGo B6 B,Yes,A,20,RGO,B6,Soil,10-15 cm,2-Sep-22,18-Apr-23,0.245,9.91,971.18,Yes,308452,6.5,6.8,0.14,1.2,2.74,78.2,20.6,4.1,34,45,21,6.52,1.25
RGo C7 T,Yes,A,21,RGO,C7,Soil,0-5 cm,2-Sep-22,18-Apr-23,0.248,21.9,2146.2,No,308453,6.3,6.8,0.18,1.97,3.84,91.6,23.1,8.2,24,56,20,7.19,1.06
